"Timestamp","1.   Jakie studia ukończyłaś/-eś?","2. 	Czy określiłabyś/-łbyś kognitywistykę jako Twój podstawowy kierunek studiów? ","3. 	Czy ukończyłeś jeszcze inne kierunki studiów?","4.	W jakim ośrodku zakończyłaś/-eś studia licencjackie w zakresie kognitywistyki?","5.	W którym roku zakończyłaś/-eś studia?","6.	Które określenie najlepiej opisuje specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","7.	Czy ukończyłeś również studia licencjackie w zakresie kognitywistyki?","9.	W którym roku zakończyłaś/-eś studia?","8	W jakim ośrodku zakończyłaś/-eś studia magisterskie w zakresie kognitywistyki?","10.	Które określenia najlepiej opisują specjalizację zrealizowaną w obrębie Twoich studiów w zakresie kognitywistyki?","11. 	Co uważasz za najmocniejszą stronę studiów z kognitywistyki?","12.  	Co uważasz za najsłabszą stronę studiów z kognitywistyki?","13.	Jak oceniasz w jakim stopniu studia na kognitywistyce przygotowały Cię do wejścia na rynek pracy?","14. 	Jak można lepiej przygotowywać studentów kognitywistyki do wejścia na rynek pracy?","15. Czy jesteś aktywna/-y zawodowo?","16. 	Jak oceniasz stopień trudności znalezienia pracy w Polsce ogólnie?","17.	Ile czasu potrzebowałaś/-eś by znaleźć pracę po ukończeniu studiów?","18.	W jaki sposób szukałaś/-eś pracy?","19.	Czy musiałaś/-eś zmienić miejsce zamieszkania po ukończeniu studiów wyłącznie po to żeby znaleźć pracę?","20. 	Czy musiałaś/-eś się doszkolić lub przekwalifikować żeby znaleźć zadowalającą pracę?","21.	Czy musiałaś/-eś się doszkolić by znaleźć pracę (rozwinąć kompetencje nabyte w trakcie studiów)? ","22.	Czy musiałaś/-eś się przekwalifikować (nabyć zupełnie nowe kompetencje)?","23.	Jaka jest Twoja obecna sytuacja zawodowa? ","24. 	 Jaki jest Twój ogólny staż pracy?","25. 	Jaki zawód obecnie wykonujesz?","26. 	Jaki zawód chciałabyś/-łbyś wykonywać?","27.	Czy wykonywana przez Ciebie praca jest zgodna z kierunkiem studiów?","28. 	Jaki jest Twój średni miesięczny dochód osobisty brutto z realizowanej pracy w złotych?","29. 	Jak bardzo jesteś zadowolona/-y ze swojej pracy?","30. 	Jak bardzo jesteś zadowolona/-y ze swoich zarobków?","31.  	Czy ponownie zdecydowałabyś/-byś się na ten kierunek studiów? ","32.	Jak często wykorzystujesz umiejętności nabyte w trakcie studiów w ramach swoich codziennych obowiązków w pracy?","33. 	Jak komentowano ukończony kierunek podczas rekrutacji do pracy?","34. 	Płeć","35. 	Wiek","36. 	Stan cywilny","37. 	Kraj zamieszkania","38. 	Wielkość miejsca zamieszkania"
"2020/05/07 7:44:48 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2018","Informatyczne;Psychologiczne i społeczne","","","","","zrozumienie kim jest człowiek (jako jednostka), jaki można mieć na niego wpływ","interdyscyplinarność studiów kształtuje wiedzę studentów na zasadzie ""wszystkiego po trochu""","1","większy nacisk na specjalizację wybranej ścieżki rozwoju w celu ukierunkowania studenta na konkretną drogę ","Nie","","","","","","","","","","","","","","","","","","","Kobieta","23 - 25","Związek partnerski","Polska","Miasto do 100 tys. mieszkańców"
"2020/05/07 7:45:23 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2020","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","Humanistyczne;Psychologiczne i społeczne;Neurobiologiczne, Filozoficzne","interdyscyplinarnosc","bazowanie na starych materiałach ","3","zajecia praktyczne z certyfikatami","Tak","2","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook)","Nie","Nie","","","","","","","","","2","2","3","2","4","Kobieta","23 - 25","Panna, Kawaler","Polska","Wieś"
"2020/05/07 7:47:52 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2017","Uniwersytet Jagielloński","Psychologiczne i społeczne","Możliwość rozwoju w wielu roznych kierunkach","Nowosc tego kierunku w Polsce i konsekwencje z tego wynikajace - nadal slabo opracowany program, brak wystarczajacej ilosci specjalistów ","4","Dolozyc obowiazkowe staże (na UJ ich nie  było), edukowac studentow jak i pracodawcow o sposobach w jakie kognitywisci moga ubogacić miejsce pracy, ","Tak","5","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy","Nie","Nie","","","","","","","","","5","5","5","3","5","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 8:03:37 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","Filozofia","Uniwersytet Jagielloński w Krakowie","2016","Humanistyczne;Psychologiczne i społeczne","","","","","Wszechstronność","Kompletną nieadekwatność do rynku pracy i brak pomoc absolwentom w znajdowaniu adekwatnego zatrudnienia","2","Pomoc w badaniach Instytutu Psychologii dostępną dla wszystkich studentów. U nas wiedzieli o tym tylko zainteresowani, ja nigdy takiej propozycji nie dostałam, choć bym ją z chęcią przyjęła.","Tak","3","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Strona internetowa pracodawcy","Nie","Nie","","","","","","","","","3","3","3","2","4","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 8:04:36 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","Nie","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2016","Humanistyczne;Informatyczne","","","","","Szeroki wachlarz dziedzin ktore sie na kognitywistyke skladaja","Brak wyspecjalizowania i precyzyjnego ukierunkowania","1","Wprowadzic bardziej zaawansowaną wiedzę a przedmiotów kierunkowych. Np Artificial intelligence mogłoby uczyć czegoś więcej niż podstawy podstawy a I to nawet nie...","Tak","3","4-6 miesięcy","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook)","Tak","Tak","Tak, poprzez studia podyplomowe","Tak, poprzez studia podyplomowe","Pracująca/-y;Studentka/-","3-5 lat","Rekruter","HR manager","Nie","7000","4","5","2","4","4","Kobieta","26 - 30","Panna, Kawaler","Irlandia ","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 8:05:23 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","Nie","","","","Tak","2017","Uniwersytet Jagielloński","Biologiczne i przyrodnicze;Psychologiczne i społeczne;Zarządzanie i marketing","Interdyscyplinarność","-","4","Specjalizacje w ramach studiów. ","Tak","3","4-6 miesięcy","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl)","Nie","Nie","","","","","","","","","5","5","4","3","4","Kobieta","26 - 30","Panna, Kawaler","PL","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 8:25:29 PM GMT+2","Kognitywistyka (studia licencjackie)","Nie","","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2017","Psychologiczne i społeczne","","","","","","","1","","","4","","Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez inne studia","Tak, poprzez inne studia","Studentka/-","","","","Nie","","5","4","1","1","1","Kobieta","23 - 25","Związek partnerski","","Wieś"
"2020/05/07 8:26:51 PM GMT+2","Kognitywistyka (studia magisterskie)","Tak","","","","","Tak","2017","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","Filologiczne","","","3","","Tak","3","Powyżej 12 miesięcy","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Strona internetowa pracodawcy;Targi Pracy;Urząd Pracy;Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Nie","Tak, poprzez kurs stacjonarny;Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Stażysta ","4-6 miesięcy","Programista ","Programista","Nie","","5","4","4","2","5","Kobieta","26 - 30","Zamężna, Żonaty","Włochy ","Miasto do 100 tys. mieszkańców"
"2020/05/07 8:28:29 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Jagielloński","2018","Humanistyczne;Psychologiczne i społeczne","","","","","Podstawowa wiedza w kilku dziedzinach ","Niewyspecjalizowanie, w każdej z dziedzin dotykanych przez kognitywistykę są osoby z głębszą wiedzą. ","2","Organizując ścieżki rozwoju wokół realnych zawodów, które można wykonywać po tych studiach ","Tak","4","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Social Media (np.: LinkedIn, Facebook);Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Tak, poprzez kurs online (wliczając webinary);Tak, poprzez książki i inne materiały","Pracująca/-y","3-5 lat","Technical writer ","Technical content manager ","Nie","10000","4","4","2","2","3","Kobieta","23 - 25","Panna, Kawaler","Polska","Miasto pow. 500 tys. Mieszkańców"
"2020/05/07 8:29:21 PM GMT+2","Kognitywistyka (studia licencjackie)","Tak","","Uniwersytet Marii Curie-Skłodowskiej w Lublinie","2017","Informatyczne","","","","","Nauka konstruktywnego myślenia ","Mało docenione ","5","Praktyki","Tak","4","Pracowałam/-em już w trakcie studiów","Ogólne strony internetowe z ogłoszeniami o pracę (np.: pracuj.pl, goldenline.pl);Branżowe strony internetowe i społeczności internetowe z ogłoszeniami o pracę (np.: nofluffjobs.pl);Social Media (np.: LinkedIn, Facebook);Rodzina/Znajomi (wliczając programy rekomendacji wewnątrz firm)","Nie","Tak","Tak, poprzez kurs stacjonarny;Tak, poprzez kurs online (wliczając webinary)","Nie","Własna działalność ","1-2 lata","Programista/marketing social media","Ten sam","Tak","3000","3","2","5","5","5","Kobieta","26 - 30","Panna, Kawaler","Polska","Miasto do 100 tys. mieszkańców"
